らーめん,390
もやしらーめん,440
煮玉子らーめん,480
チャーシュー麺,480
ラー麦らーめん,530
大盛りらーめん,560
ぎょうざセット,300
ぎょうざ（3個）,210
ぎょうざ（6個）,400
白ごはん（小）,100
白ごはん（中）,140
白ごはん（大）,190
替玉,100
半替玉,70
ラー麦替玉,160
チャーシュー（2枚）,100
煮玉子,100
焼きのり,80
もやし,60
瓶ビール,500
日本酒,410
焼酎,310
キリンゼロイチ,310
